Event,Latitude,Longitude,Country,State,County,Website
Aachener Weiher parkrun,50.934298,6.927553,Germany,North Rhine-Westphalia,Cologne District,https://www.parkrun.com.de/aachenerweiher
Aberbeeg parkrun,51.711165,-3.144286,United Kingdom,Wales,Blaenau Gwent,https://www.parkrun.org.uk/aberbeeg
Aberdare parkrun,51.718796,-3.460089,United Kingdom,Wales,Rhondda Cynon Taf,https://www.parkrun.org.uk/aberdare
Aberdeen parkrun,57.173898,-2.086256,United Kingdom,Scotland,Aberdeen City,https://www.parkrun.org.uk/aberdeen
Aberystwyth parkrun,52.414546,-4.080401,United Kingdom,Wales,Ceredigion,https://www.parkrun.org.uk/aberystwyth
Abingdon parkrun,51.667957,-1.277429,United Kingdom,England,Oxfordshire,https://www.parkrun.org.uk/abingdon
Achill Greenway parkrun,53.935862,-9.915749,Ireland,Connacht,Mayo,https://www.parkrun.ie/achillgreenway
Aggeneys parkrun,-29.230412,18.845229,South Africa,Northern Cape,Namakwa District Municipality,https://www.parkrun.co.za/aggeneys
Agnew parkrun,54.908188,-5.0349,United Kingdom,Scotland,Dumfries and Galloway,https://www.parkrun.org.uk/agnew
Airlie Beach parkrun,-20.267153,148.711122,Australia,Queensland,Whitsunday,https://www.parkrun.com.au/airliebeach
Akkerendam Nature Reserve parkrun,-31.455321,19.773753,South Africa,Northern Cape,Namakwa District Municipality,https://www.parkrun.co.za/akkerendamnaturereserve
"Albert parkrun, Melbourne",-37.843521,144.96312,Australia,Victoria,Port Phillip,https://www.parkrun.com.au/albertmelbourne
"Albert parkrun, Middlesbrough",54.564972,-1.231788,United Kingdom,England,Middlesbrough,https://www.parkrun.org.uk/albert
Alberts Farm parkrun,-26.161115,27.968273,South Africa,Gauteng,City of Johannesburg Metropolitan Municipality,https://www.parkrun.co.za/albertsfarm
Albury Wodonga parkrun,-36.0873,146.88886,Australia,New South Wales,Albury Municipality,https://www.parkrun.com.au/alburywodonga
Aldenham parkrun,51.647953,-0.316507,United Kingdom,England,Hertfordshire,https://www.parkrun.org.uk/aldenham
Alderford Lake parkrun,52.953181,-2.675436,United Kingdom,England,Shropshire,https://www.parkrun.org.uk/alderfordlake
Alderley Park parkrun,53.2793,-2.231854,United Kingdom,England,Cheshire East,https://www.parkrun.org.uk/alderleypark
Aldinga Beach parkrun,-35.287768,138.444983,Australia,South Australia,Onkaparinga,https://www.parkrun.com.au/aldingabeach
