Event,Latitude,Longitude,Country,State,County,Website
Aberbeeg parkrun,51.711165,-3.144286,United Kingdom,Wales,Blaenau Gwent,https://www.parkrun.org.uk/aberbeeg
Aberdare parkrun,51.718796,-3.460089,United Kingdom,Wales,Rhondda Cynon Taf,https://www.parkrun.org.uk/aberdare
Aberdeen parkrun,57.173898,-2.086256,United Kingdom,Scotland,Aberdeen City,https://www.parkrun.org.uk/aberdeen
Aberystwyth parkrun,52.414546,-4.080401,United Kingdom,Wales,Ceredigion,https://www.parkrun.org.uk/aberystwyth
Abingdon parkrun,51.667957,-1.277429,United Kingdom,England,Oxfordshire,https://www.parkrun.org.uk/abingdon
Agnew parkrun,54.908188,-5.0349,United Kingdom,Scotland,Dumfries and Galloway,https://www.parkrun.org.uk/agnew
"Albert parkrun, Middlesbrough",54.564972,-1.231788,United Kingdom,England,Middlesbrough,https://www.parkrun.org.uk/albert
Aldenham parkrun,51.647953,-0.316507,United Kingdom,England,Hertfordshire,https://www.parkrun.org.uk/aldenham
Alderford Lake parkrun,52.953181,-2.675436,United Kingdom,England,Shropshire,https://www.parkrun.org.uk/alderfordlake
Alderley Park parkrun,53.2793,-2.231854,United Kingdom,England,Cheshire East,https://www.parkrun.org.uk/alderleypark
"Alexandra parkrun, Moss Side",53.450142,-2.248827,United Kingdom,England,Manchester,https://www.parkrun.org.uk/alexandra
Alice Holt parkrun,51.168607,-0.83814,United Kingdom,England,Hampshire,https://www.parkrun.org.uk/aliceholt
Ally Pally parkrun,51.595936,-0.12233,United Kingdom,England,Greater London,https://www.parkrun.org.uk/allypally
Alness parkrun,57.694306,-4.256669,United Kingdom,Scotland,Highland,https://www.parkrun.org.uk/alness
Alton Water parkrun,51.974806,1.134021,United Kingdom,England,Suffolk,https://www.parkrun.org.uk/altonwater
Alvaston parkrun,52.906173,-1.440173,United Kingdom,England,Derby,https://www.parkrun.org.uk/alvaston
Ancholme Valley Way parkrun,53.553676,-0.496441,United Kingdom,England,North Lincolnshire,https://www.parkrun.org.uk/ancholmevalleyway
Andover parkrun,51.221092,-1.512766,United Kingdom,England,Hampshire,https://www.parkrun.org.uk/andover
Antrim parkrun,54.717078,-6.238818,United Kingdom,Northern Ireland,Antrim,https://www.parkrun.org.uk/antrim
Armagh parkrun,54.339812,-6.652951,United Kingdom,Northern Ireland,Armagh,https://www.parkrun.org.uk/armagh
Armley parkrun,53.800347,-1.590893,United Kingdom,England,Leeds,https://www.parkrun.org.uk/armley
Arrow Valley parkrun,52.29362,-1.906573,United Kingdom,England,Worcestershire,https://www.parkrun.org.uk/arrowvalley
Ashbourne Recreation Ground parkrun,53.018719,-1.727477,United Kingdom,England,Derbyshire,https://www.parkrun.org.uk/ashbournerecreationground
Ashford parkrun,51.14347,0.864218,United Kingdom,England,Kent,https://www.parkrun.org.uk/ashford
